,movie name,rating,votes
0,Anbe Sivam,"<span class=""ipl-rating-star__rating"">8.6</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""23816"" name=""nv"">23,816</span>
</p>"
1,Server Sundaram,"<span class=""ipl-rating-star__rating"">7.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""341"" name=""nv"">341</span>
</p>"
2,Kannathil Muthamittal,"<span class=""ipl-rating-star__rating"">8.4</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""8787"" name=""nv"">8,787</span>
</p>"
3,Guna,"<span class=""ipl-rating-star__rating"">8.2</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""2844"" name=""nv"">2,844</span>
</p>"
4,Thalapathi,"<span class=""ipl-rating-star__rating"">8.5</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""12618"" name=""nv"">12,618</span>
</p>"
5,Ethir Neechal,"<span class=""ipl-rating-star__rating"">8.3</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""470"" name=""nv"">470</span>
</p>"
6,Roja,"<span class=""ipl-rating-star__rating"">8.1</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""13189"" name=""nv"">13,189</span>
</p>"
7,Ratha Kanneer,"<span class=""ipl-rating-star__rating"">8.5</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""349"" name=""nv"">349</span>
</p>"
8,Thevar Magan,"<span class=""ipl-rating-star__rating"">8.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""7468"" name=""nv"">7,468</span>
</p>"
9,Aayirathil Oruvan,"<span class=""ipl-rating-star__rating"">6.5</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""164"" name=""nv"">164</span>
</p>"
10,Mouna Ragam,"<span class=""ipl-rating-star__rating"">8.4</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""4070"" name=""nv"">4,070</span>
</p>"
11,Raaja Paarvai,"<span class=""ipl-rating-star__rating"">7.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""247"" name=""nv"">247</span>
</p>"
12,Sumaithangi,"<span class=""ipl-rating-star__rating"">7.1</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""33"" name=""nv"">33</span>
</p>"
13,Indian,"<span class=""ipl-rating-star__rating"">8.1</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""13027"" name=""nv"">13,027</span>
</p>"
14,Moondram Pirai,"<span class=""ipl-rating-star__rating"">8.6</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""3065"" name=""nv"">3,065</span>
</p>"
15,Mahanadhi,"<span class=""ipl-rating-star__rating"">8.6</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""4198"" name=""nv"">4,198</span>
</p>"
16,Pathinaru Vayathinile,"<span class=""ipl-rating-star__rating"">8</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""1176"" name=""nv"">1,176</span>
</p>"
17,Muthal Mariyathai,"<span class=""ipl-rating-star__rating"">7.8</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""483"" name=""nv"">483</span>
</p>"
18,Apoorva Sagodharargal,"<span class=""ipl-rating-star__rating"">8.3</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""4295"" name=""nv"">4,295</span>
</p>"
19,Parasakthi,"<span class=""ipl-rating-star__rating"">7.6</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""331"" name=""nv"">331</span>
</p>"
20,Anjali,"<span class=""ipl-rating-star__rating"">8.2</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""3081"" name=""nv"">3,081</span>
</p>"
21,Unnal Mudiyum Thambi,"<span class=""ipl-rating-star__rating"">7.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""748"" name=""nv"">748</span>
</p>"
22,Sethu,"<span class=""ipl-rating-star__rating"">8.1</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""2768"" name=""nv"">2,768</span>
</p>"
23,Amaidhi Padai,"<span class=""ipl-rating-star__rating"">7.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""497"" name=""nv"">497</span>
</p>"
24,Azhakan,"<span class=""ipl-rating-star__rating"">7.2</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""217"" name=""nv"">217</span>
</p>"
25,Chinna Thambi Periya Thambi,"<span class=""ipl-rating-star__rating"">5.8</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""120"" name=""nv"">120</span>
</p>"
26,Aan Paavam,"<span class=""ipl-rating-star__rating"">7.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""374"" name=""nv"">374</span>
</p>"
27,Agni Natchathiram,"<span class=""ipl-rating-star__rating"">7.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""1375"" name=""nv"">1,375</span>
</p>"
28,Tik Tik Tik,"<span class=""ipl-rating-star__rating"">6.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""283"" name=""nv"">283</span>
</p>"
29,Antha Ezhu Natkal,"<span class=""ipl-rating-star__rating"">7.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""208"" name=""nv"">208</span>
</p>"
30,Kadalikka Neramillai,"<span class=""ipl-rating-star__rating"">8.2</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""414"" name=""nv"">414</span>
</p>"
31,Idhayam,"<span class=""ipl-rating-star__rating"">6.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""166"" name=""nv"">166</span>
</p>"
32,Poomani,"<span class=""ipl-rating-star__rating"">4.2</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""19"" name=""nv"">19</span>
</p>"
33,Anbulla Rajanikant,"<span class=""ipl-rating-star__rating"">6.1</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""192"" name=""nv"">192</span>
</p>"
34,Andha Naal,"<span class=""ipl-rating-star__rating"">7.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""451"" name=""nv"">451</span>
</p>"
35,Chinna Thambi,"<span class=""ipl-rating-star__rating"">6.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""217"" name=""nv"">217</span>
</p>"
36,Yaar Nee,"<span class=""ipl-rating-star__rating"">7.6</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""50"" name=""nv"">50</span>
</p>"
37,Mullum Malarum,"<span class=""ipl-rating-star__rating"">8.3</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""891"" name=""nv"">891</span>
</p>"
38,7/G Rainbow Colony,"<span class=""ipl-rating-star__rating"">7.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""2737"" name=""nv"">2,737</span>
</p>"
39,Nammavar,"<span class=""ipl-rating-star__rating"">7.7</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""837"" name=""nv"">837</span>
</p>"
40,Moodupani,"<span class=""ipl-rating-star__rating"">6.9</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""2108"" name=""nv"">2,108</span>
</p>"
41,Gentleman,"<span class=""ipl-rating-star__rating"">7.8</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""2549"" name=""nv"">2,549</span>
</p>"
42,Pithamagan,"<span class=""ipl-rating-star__rating"">8.3</span>","<p class=""text-muted text-small"">
<span class=""text-muted"">Votes:</span>
<span data-value=""7085"" name=""nv"">7,085</span>
</p>"
